gbifID;Especie_POWO032025;Latitude;Longitude;continent;countryC
3986510387;Acianthera capillaris;;;SOUTH_AMERICA;PE
3986511397;Acianthera decurrens;;;SOUTH_AMERICA;PE
3989254354;Acianthera teres;;;SOUTH_AMERICA;BR
3991116555;Acianthera teres;-20.39444;-41.56250;SOUTH_AMERICA;BR
3992789635;Acianthera teres;;;SOUTH_AMERICA;BR
3994743417;Acianthera luteola;;;SOUTH_AMERICA;BR
3994747410;Acianthera saurocephala;;;SOUTH_AMERICA;BR
4002928319;Acianthera;-2.52631;-70.65478;SOUTH_AMERICA;PE
4006547207;Acianthera recurva;-25.37378;-49.01142;SOUTH_AMERICA;BR
4007827444;Acianthera hatschbachii;-26.81861;-51.02194;SOUTH_AMERICA;BR
4007844397;Acianthera saundersiana;-24.03611;-52.27889;SOUTH_AMERICA;BR
4009668611;Acianthera glumacea;-19.90731;-40.55323;SOUTH_AMERICA;BR
4014960049;Acianthera sonderiana;-20.51493;-41.00689;SOUTH_AMERICA;BR
4015148456;Acianthera ciliata;3.60925;-53.17506;SOUTH_AMERICA;GF
4015301432;Acianthera pubescens;3.59579;-53.29530;SOUTH_AMERICA;GF
4015366483;Acianthera pubescens;3.60278;-53.26522;SOUTH_AMERICA;GF
4015732491;Acianthera;-4.08972;-69.56889;SOUTH_AMERICA;BR
4018594420;Acianthera glumacea;-19.14983;-40.07090;SOUTH_AMERICA;BR
4022071427;Acianthera tricarinata;-4.33060;-79.78414;SOUTH_AMERICA;EC
4028602233;Acianthera recurva;-27.02142;-50.14931;SOUTH_AMERICA;BR
4028688491;Acianthera polystachya;5.44409;-75.79649;SOUTH_AMERICA;CO
4028694835;Acianthera recurva;-25.38519;-49.01537;SOUTH_AMERICA;BR
4028715272;Acianthera bragae;-27.03193;-50.13966;SOUTH_AMERICA;BR
4028748091;Acianthera ochreata;-11.56152;-41.01215;SOUTH_AMERICA;BR
4029330398;Acianthera prolifera;-12.55103;-41.51740;SOUTH_AMERICA;BR
4029361344;Acianthera;6.78104;-75.31808;SOUTH_AMERICA;CO
4029363851;Acianthera;6.78248;-75.32107;SOUTH_AMERICA;CO
4029364219;Acianthera;6.78248;-75.32107;SOUTH_AMERICA;CO
4031388929;Acianthera dodsonii;-0.48333;-78.86667;SOUTH_AMERICA;EC
4031388937;Acianthera echinocarpa;-4.46600;-79.14860;SOUTH_AMERICA;EC
4031389000;Acianthera brunnescens;-1.39100;-78.29400;SOUTH_AMERICA;EC
4031389830;Acianthera agathophylla;;;SOUTH_AMERICA;EC
4031389891;Acianthera brunnescens;-2.98333;-78.36667;SOUTH_AMERICA;EC
4031389936;Acianthera erythrogramma;;;SOUTH_AMERICA;EC
4031389987;Acianthera ciliata;;;SOUTH_AMERICA;EC
4031390918;Acianthera ciliata;-1.06666;-77.78333;SOUTH_AMERICA;EC
4031393978;Acianthera tunguraguae;;;SOUTH_AMERICA;EC
4031393984;Acianthera tricarinata;-4.06917;-78.95667;SOUTH_AMERICA;EC
4031397927;Acianthera pantasmoides;-3.50000;-79.16660;SOUTH_AMERICA;EC
4031399003;Acianthera verecunda;;;SOUTH_AMERICA;EC
4031399916;Acianthera tricarinata;-2.83330;-78.35000;SOUTH_AMERICA;EC
4031400908;Acianthera scalpricaulis;-3.00500;-78.19600;SOUTH_AMERICA;EC
4031402847;Acianthera sicaria;;;SOUTH_AMERICA;EC
4031432888;Acianthera pubescens;-20.73333;-64.28333;SOUTH_AMERICA;BO
4031438505;Acianthera nemorosa;;;SOUTH_AMERICA;PY
4031442960;Acianthera ciliata;;;SOUTH_AMERICA;CO
4031466521;Acianthera decurrens;4.00361;-74.35861;SOUTH_AMERICA;CO
4031471200;Acianthera costabilis;;;SOUTH_AMERICA;BO
4031473825;Acianthera agathophylla;-17.93333;-63.43333;SOUTH_AMERICA;BO
4031493798;Acianthera pantasmi;;;SOUTH_AMERICA;EC
4031493927;Acianthera verecunda;-1.26666;-79.70000;SOUTH_AMERICA;EC
4031499863;Acianthera geminicaulina;-0.26666;-79.23333;SOUTH_AMERICA;EC
4031500827;Acianthera adamantinensis;;;SOUTH_AMERICA;BR
4031501873;Acianthera cogniauxiana;;;SOUTH_AMERICA;EC
4031507222;Acianthera agathophylla;;;SOUTH_AMERICA;BO
4031517633;Acianthera ciliata;-1.06666;-77.60000;SOUTH_AMERICA;EC
4031522390;Acianthera pubescens;-16.55888;-66.14138;SOUTH_AMERICA;BO
4031526657;Acianthera pubescens;;;SOUTH_AMERICA;BO
4031540101;Acianthera;-10.61667;-75.28333;SOUTH_AMERICA;PE
4031569893;Acianthera deserta;-14.56805;-68.90027;SOUTH_AMERICA;BO
4031574406;Acianthera erinacea;-10.39583;-75.48194;SOUTH_AMERICA;PE
4031585897;Acianthera ciliata;-1.06666;-77.60000;SOUTH_AMERICA;EC
4031585942;Acianthera sicaria;-4.45000;-79.15500;SOUTH_AMERICA;EC
4031586001;Acianthera dodsonii;-0.45000;-77.88333;SOUTH_AMERICA;EC
4031616595;Acianthera erinacea;-10.18278;-75.57361;SOUTH_AMERICA;PE
4031635167;Acianthera;-12.98388;-72.06333;SOUTH_AMERICA;PE
4031643570;Acianthera boliviana;-18.26972;-63.67333;SOUTH_AMERICA;BO
4031676249;Acianthera chamelopoda;-13.18750;-70.56361;SOUTH_AMERICA;PE
4031683451;Acianthera polystachya;-10.39583;-75.48194;SOUTH_AMERICA;PE
4031691515;Acianthera ciliata;-10.48528;-75.06500;SOUTH_AMERICA;PE
4031710954;Acianthera ciliata;-10.16639;-75.26806;SOUTH_AMERICA;PE
4031733527;Acianthera ciliata;-10.19472;-75.32888;SOUTH_AMERICA;PE
4031733743;Acianthera sicaria;-10.28138;-75.52416;SOUTH_AMERICA;PE
4031767386;Acianthera rodolfovasquezii;-10.39583;-75.48194;SOUTH_AMERICA;PE
4031792376;Acianthera ciliata;-4.45639;-74.07833;SOUTH_AMERICA;PE
4031800880;Acianthera aphthosa;-3.68333;-79.61667;SOUTH_AMERICA;EC
4031800910;Acianthera dodsonii;;;SOUTH_AMERICA;EC
4031800958;Acianthera polystachya;;;SOUTH_AMERICA;EC
4031800965;Acianthera verecunda;;;SOUTH_AMERICA;EC
4031803893;Acianthera ciliata;-1.13333;-77.50000;SOUTH_AMERICA;EC
4031804022;Acianthera scalpricaulis;-2.48000;-78.20000;SOUTH_AMERICA;EC
4031811011;Acianthera lamia;-0.66660;-78.70000;SOUTH_AMERICA;EC
4031817140;Acianthera;-10.33194;-75.34972;SOUTH_AMERICA;PE
4031830888;Acianthera erythrogramma;-10.33806;-75.07194;SOUTH_AMERICA;PE
4031831628;Acianthera rodolfovasquezii;-10.38500;-75.54833;SOUTH_AMERICA;PE
4031863888;Acianthera;-8.18028;-76.22333;SOUTH_AMERICA;PE
4031893963;Acianthera biceps;-2.98330;-78.36667;SOUTH_AMERICA;EC
4031894022;Acianthera tunguraguae;;;SOUTH_AMERICA;EC
4031894038;Acianthera sicaria;-0.36660;-78.13330;SOUTH_AMERICA;EC
4031909866;Acianthera tricarinata;;;SOUTH_AMERICA;EC
4031909901;Acianthera geminicaulina;-0.58333;-79.36666;SOUTH_AMERICA;EC
4031909918;Acianthera wyvern;-4.00000;-78.50000;SOUTH_AMERICA;EC
4031957684;Acianthera pantasmoides;4.33333;-75.66667;SOUTH_AMERICA;CO
4031989925;Acianthera boliviana;-16.90000;-67.13333;SOUTH_AMERICA;BO
4031990311;Acianthera;-10.39583;-75.48194;SOUTH_AMERICA;PE
4031993476;Acianthera;;;SOUTH_AMERICA;EC
4031995245;Acianthera agathophylla;-16.43833;-66.78500;SOUTH_AMERICA;BO
4032045379;Acianthera polystachya;-10.39583;-75.48194;SOUTH_AMERICA;PE
4032050540;Acianthera erythrogramma;-10.48583;-75.11277;SOUTH_AMERICA;PE
4032058899;Acianthera erythrogramma;-10.34056;-75.25306;SOUTH_AMERICA;PE
4032061104;Acianthera prolifera;;;SOUTH_AMERICA;BO
4032071799;Acianthera ciliata;-10.47000;-75.08333;SOUTH_AMERICA;PE
4032075079;Acianthera rodolfovasquezii;-10.58167;-75.40722;SOUTH_AMERICA;PE
4032113393;Acianthera ciliata;-4.89528;-74.35056;SOUTH_AMERICA;PE
4032121690;Acianthera;-10.57389;-75.35139;SOUTH_AMERICA;PE
4032124308;Acianthera ruizii;-10.32639;-75.52222;SOUTH_AMERICA;PE
4034743577;Acianthera johannensis;-21.71195;-43.90298;SOUTH_AMERICA;BR
4034873696;Acianthera johannensis;-21.71195;-43.90298;SOUTH_AMERICA;BR
4037842408;Acianthera hatschbachii;-25.76170;-49.74811;SOUTH_AMERICA;BR
4037842687;Acianthera hygrophila;-25.39787;-49.24930;SOUTH_AMERICA;BR
